Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names
Arunita Paribahan,A/C Seater (2+3),23:35,04:30,04h 55m,333,21 Seats available,"1.7
9",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan,A/C Seater (2+3),23:30,04:00,04h 30m,378,45 Seats available,"2.1
10",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Aradhana Bus Service,A/C Seater / Sleeper (2+2),23:00,04:00,05h 00m,INR 550,66 Seats available,"1.2
19",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Aradhana Travels,Non AC Seater (2+3),21:45,03:25,05h 40m,450,18 Seats available,1.5,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Royal Cruiser,Volvo A/C Seater (2+2),20:00,23:15,03h 15m,INR 500,17 Seats available,"3.8
160",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Pammi Travels,NON A/C Sleeper (2+1),21:15,01:30,04h 15m,INR 697,23 Seats available,3.6,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04:30,05h 00m,INR 300,30 Seats available,"4.6
335",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Express Line,VE A/C Seater (2+2),23:45,04:45,05h 00m,INR 299,29 Seats available,"4.2
332",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,338,26 Seats available,"4.2
114",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,INR 300,39 Seats available,"4.2
100",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Parameswar Travels,A/C Seater Push Back (2+3),23:59,05:00,05h 01m,238,45 Seats available,"3.2
123",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Parameswar Travels,A/C Seater Push Back (2+3),23:45,05:00,05h 15m,238,51 Seats available,"3.2
116",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Basu Travels,A/C Seater / Sleeper (2+2),23:59,05:00,05h 01m,319,34 Seats available,"3.5
43",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Basu Travels,A/C Seater Push Back (2+3),23:30,04:30,05h 00m,240,20 Seats available,"3.5
30",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels(Angel),A/C Seater (2+2),23:58,05:10,05h 12m,291,16 Seats available,"4.2
24",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
City Express (Shinjini),AC Seater (2+3),23:50,04:55,05h 05m,333,35 Seats available,"2.8
54",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Parameswar Travels,A/C Seater Push Back (2+3),23:55,05:00,05h 05m,285,49 Seats available,"2.4
28",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Bengal Surface Transport,A/C Seater / Sleeper (2+2),23:55,05:00,05h 05m,319,37 Seats available,"3.0
26",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Parameswar Travels,A/C Seater Push Back (2+3),21:50,03:45,05h 55m,285,51 Seats available,"2.2
18",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels (Maity),A/C Seater (2+3),00:55,05:50,04h 55m,338,30 Seats available,"3.1
18",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
City Express (Shinjini),AC Seater (2+2),23:45,04:35,04h 50m,320,12 Seats available,"3.9
4",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels (Atithi),A/C Seater Push Back (2+3),23:59,05:00,05h 01m,291,38 Seats available,"2.8
32",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Snemita Paribahan(Shinjini),A/C Seater (2+3),23:50,04:30,04h 40m,320,20 Seats available,"2.6
8",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Snemita Paribahan (Bhorpet),AC Seater (2+2),23:55,04:45,04h 50m,320,29 Seats available,"3.7
15",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Ankita Paribahan(Atithi),A/C Seater (2+3),23:55,05:00,05h 05m,378,20 Seats available,"3.0
5",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Snemita Paribahan (ANGEL),A/C Seater Push Back (2+2),23:58,05:00,05h 02m,320,25 Seats available,"1.7
4",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels (Sagar Kanya),A/C Seater Push Back (2+3),23:30,04:05,04h 35m,291,16 Seats available,"2.5
14",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels(Lokenath),A/C Seater Push Back (2+3),00:30,05:30,05h 00m,291,30 Seats available,"2.2
4",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Haimanti Bus Service,AC Seater (2+3),19:50,01:30,05h 40m,INR 230,20 Seats available,"1.8
5",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Basu Travels,A/C Seater Push Back (2+3),23:55,05:00,05h 05m,240,21 Seats available,"2.3
5",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Snemita Paribahan (Shinjini),AC Seater (2+2),23:45,04:35,04h 50m,320,16 Seats available,3.4,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Bengal Surface Transport,A/C Seater Push Back (2+3),23:20,04:30,05h 10m,335,21 Seats available,2.7,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Bengal Surface Transport,A/C Seater Push Back (2+3),23:59,05:00,05h 01m,319,20 Seats available,"2.0
8",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Ankita Paribahan (Maity Motor),A/C Seater Push Back (2+3),22:20,03:00,04h 40m,383,25 Seats available,3.1,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels (Santosh),A/C Seater / Sleeper (2+2),01:20,05:30,04h 10m,324,18 Seats available,"3.6
8",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Arunita Paribahan,AC Seater (2+2),23:45,04:45,05h 00m,320,21 Seats available,4.1,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Friends Travels,A/C Seater (2+3),23:55,05:10,05h 15m,INR 350,26 Seats available,"2.8
7",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
SANTOSH BUS SERVICE,AC Seater (2+3),23:50,05:00,05h 10m,INR 350,40 Seats available,"2.7
4",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Ankita Paribahan(Atithi),A/C Seater Push Back (2+3),22:40,05:20,06h 40m,378,20 Seats available,3.1,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
SANTOSH BUS SERVICE,A/C Seater / Sleeper (2+2),23:59,05:30,05h 31m,INR 349,43 Seats available,"2.0
4",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
SANTOSH BUS SERVICE,AC Seater (2+3),20:20,00:45,04h 25m,INR 250,41 Seats available,2.7,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Anadi Travels (Disha Gold),A/C Seater Push Back (2+3),23:00,04:40,05h 40m,INR 500,60 Seats available,1.0,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
SANTOSH BUS SERVICE,AC Seater (2+3),00:25,05:00,04h 35m,INR 350,41 Seats available,2.7,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Royal Cruiser,Volvo A/C Seater (2+2),20:00,00:15,04h 15m,INR 550,4 Seats available,"3.4
61",https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Pammi Travels,NON A/C Sleeper (2+1),21:15,02:30,05h 15m,INR 697,23 Seats available,3.6,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Beauty Travels,NON A/C Seater / Sleeper (2+2),20:20,00:30,04h 10m,INR 500,36 Seats available,2.3,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Royal Cruiser,Volvo A/C Seater (2+2),20:00,22:15,02h 15m,INR 400,22 Seats available,"3.4
14",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Suman sabir,Non AC Seater (2+3),21:00,23:59,02h 59m,INR 111,54 Seats available,2.0,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Pammi Travels,A/C Sleeper (2+1),21:00,23:59,02h 59m,INR 999,24 Seats available,3.6,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Pammi Travels,Non A/C Seater / Sleeper (2+1),21:00,23:59,02h 59m,INR 550,33 Seats available,3.6,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Pammi Travels,NON A/C Sleeper (2+1),21:15,23:59,02h 44m,INR 697,23 Seats available,3.6,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
